Country,Region
Switzerland,Western Europe
Iceland,Western Europe
Denmark,Western Europe
Norway,Western Europe
Canada,North America
Finland,Western Europe
Netherlands,Western Europe
Sweden,Western Europe
New Zealand,Australia and New Zealand
Australia,Australia and New Zealand
Israel,Middle East and Northern Africa
Costa Rica,Latin America and Caribbean
Austria,Western Europe
Mexico,Latin America and Caribbean
United States,North America
Brazil,Latin America and Caribbean
Luxembourg,Western Europe
Ireland,Western Europe
Belgium,Western Europe
United Arab Emirates,Middle East and Northern Africa
United Kingdom,Western Europe
Oman,Middle East and Northern Africa
Venezuela,Latin America and Caribbean
Singapore,Southeastern Asia
Panama,Latin America and Caribbean
Germany,Western Europe
Chile,Latin America and Caribbean
Qatar,Middle East and Northern Africa
France,Western Europe
Argentina,Latin America and Caribbean
Czech Republic,Central and Eastern Europe
Uruguay,Latin America and Caribbean
Colombia,Latin America and Caribbean
Thailand,Southeastern Asia
Saudi Arabia,Middle East and Northern Africa
Spain,Western Europe
Malta,Western Europe
Taiwan,Eastern Asia
Kuwait,Middle East and Northern Africa
Suriname,Latin America and Caribbean
Trinidad and Tobago,Latin America and Caribbean
El Salvador,Latin America and Caribbean
Guatemala,Latin America and Caribbean
Uzbekistan,Central and Eastern Europe
Slovakia,Central and Eastern Europe
Japan,Eastern Asia
South Korea,Eastern Asia
Ecuador,Latin America and Caribbean
Bahrain,Middle East and Northern Africa
Italy,Western Europe
Bolivia,Latin America and Caribbean
Moldova,Central and Eastern Europe
Paraguay,Latin America and Caribbean
Kazakhstan,Central and Eastern Europe
Slovenia,Central and Eastern Europe
Lithuania,Central and Eastern Europe
Nicaragua,Latin America and Caribbean
Peru,Latin America and Caribbean
Belarus,Central and Eastern Europe
Poland,Central and Eastern Europe
Malaysia,Southeastern Asia
Croatia,Central and Eastern Europe
Libya,Middle East and Northern Africa
Russia,Central and Eastern Europe
Jamaica,Latin America and Caribbean
North Cyprus,Western Europe
Cyprus,Western Europe
Algeria,Middle East and Northern Africa
Kosovo,Central and Eastern Europe
Turkmenistan,Central and Eastern Europe
Mauritius,Sub-Saharan Africa
Hong Kong,Eastern Asia
Estonia,Central and Eastern Europe
Indonesia,Southeastern Asia
Vietnam,Southeastern Asia
Turkey,Middle East and Northern Africa
Kyrgyzstan,Central and Eastern Europe
Nigeria,Sub-Saharan Africa
Bhutan,Southern Asia
Azerbaijan,Central and Eastern Europe
Pakistan,Southern Asia
Jordan,Middle East and Northern Africa
Montenegro,Central and Eastern Europe
China,Eastern Asia
Zambia,Sub-Saharan Africa
Romania,Central and Eastern Europe
Serbia,Central and Eastern Europe
Portugal,Western Europe
Latvia,Central and Eastern Europe
Philippines,Southeastern Asia
Somaliland region,Sub-Saharan Africa
Morocco,Middle East and Northern Africa
Macedonia,Central and Eastern Europe
Mozambique,Sub-Saharan Africa
Albania,Central and Eastern Europe
Bosnia and Herzegovina,Central and Eastern Europe
Lesotho,Sub-Saharan Africa
Dominican Republic,Latin America and Caribbean
Laos,Southeastern Asia
Mongolia,Eastern Asia
Swaziland,Sub-Saharan Africa
Greece,Western Europe
Lebanon,Middle East and Northern Africa
Hungary,Central and Eastern Europe
Honduras,Latin America and Caribbean
Tajikistan,Central and Eastern Europe
Tunisia,Middle East and Northern Africa
Palestinian Territories,Middle East and Northern Africa
Bangladesh,Southern Asia
Iran,Middle East and Northern Africa
Ukraine,Central and Eastern Europe
Iraq,Middle East and Northern Africa
South Africa,Sub-Saharan Africa
Ghana,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
India,Southern Asia
Sudan,Sub-Saharan Africa
Haiti,Latin America and Caribbean
Congo (Kinshasa),Sub-Saharan Africa
Nepal,Southern Asia
Ethiopia,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
Mauritania,Sub-Saharan Africa
Kenya,Sub-Saharan Africa
Djibouti,Sub-Saharan Africa
Armenia,Central and Eastern Europe
Botswana,Sub-Saharan Africa
Myanmar,Southeastern Asia
Georgia,Central and Eastern Europe
Malawi,Sub-Saharan Africa
Sri Lanka,Southern Asia
Cameroon,Sub-Saharan Africa
Bulgaria,Central and Eastern Europe
Egypt,Middle East and Northern Africa
Yemen,Middle East and Northern Africa
Angola,Sub-Saharan Africa
Mali,Sub-Saharan Africa
Congo (Brazzaville),Sub-Saharan Africa
Comoros,Sub-Saharan Africa
Uganda,Sub-Saharan Africa
Senegal,Sub-Saharan Africa
Gabon,Sub-Saharan Africa
Niger,Sub-Saharan Africa
Cambodia,Southeastern Asia
Tanzania,Sub-Saharan Africa
Madagascar,Sub-Saharan Africa
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Guinea,Sub-Saharan Africa
Ivory Coast,Sub-Saharan Africa
Burkina Faso,Sub-Saharan Africa
Afghanistan,Southern Asia
Rwanda,Sub-Saharan Africa
Benin,Sub-Saharan Africa
Syria,Middle East and Northern Africa
Burundi,Sub-Saharan Africa
Togo,Sub-Saharan Africa
Puerto Rico,Latin America and Caribbean
Belize,Latin America and Caribbean
Somalia,Sub-Saharan Africa
Namibia,Sub-Saharan Africa
South Sudan,Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Hong kong,Southern Asia
North Macedonia,Central and Eastern Europe
Northern Cyprus,Central and Eastern Europe
Somaliland Region,Sub-Saharan Africa
Taiwan Province of China,Southern Asia
Trinidad & Tobago,Latin America and Caribbean
